netlist,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,
W0,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXN8<0>,CFG_BBMUXN8<2>,CFG_BBMUXN8<4>,CFG_BBMUXN8<6>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W1,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX<48>,CFG_SEAMMUX<49>,CFG_SEAMMUX<50>,CFG_SEAMMUX<51>,CFG_SEAMMUX<52>,CFG_SEAMMUX<53>,XXXX,CFG_BBMUXN8<1>,CFG_BBMUXN8<3>,CFG_BBMUXN8<5>,CFG_BBMUXN8<7>,XXXX,XXXX,CFG_BBMUXN8<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W2,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXN7<0>,CFG_BBMUXN7<2>,CFG_BBMUXN7<4>,CFG_BBMUXN7<6>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W3,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX<42>,CFG_SEAMMUX<43>,CFG_SEAMMUX<44>,CFG_SEAMMUX<45>,CFG_SEAMMUX<46>,CFG_SEAMMUX<47>,XXXX,CFG_BBMUXN7<1>,CFG_BBMUXN7<3>,CFG_BBMUXN7<5>,CFG_BBMUXN7<7>,XXXX,XXXX,CFG_BBMUXN7<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W4,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXN6<0>,CFG_BBMUXN6<2>,CFG_BBMUXN6<4>,CFG_BBMUXN6<6>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W5,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX<36>,CFG_SEAMMUX<37>,CFG_SEAMMUX<38>,CFG_SEAMMUX<39>,CFG_SEAMMUX<40>,CFG_SEAMMUX<41>,XXXX,CFG_BBMUXN6<1>,CFG_BBMUXN6<3>,CFG_BBMUXN6<5>,CFG_BBMUXN6<7>,XXXX,XXXX,CFG_BBMUXN6<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W6,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXN5<0>,CFG_BBMUXN5<2>,CFG_BBMUXN5<4>,CFG_BBMUXN5<6>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W7,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX<30>,CFG_SEAMMUX<31>,CFG_SEAMMUX<32>,CFG_SEAMMUX<33>,CFG_SEAMMUX<34>,CFG_SEAMMUX<35>,XXXX,CFG_BBMUXN5<1>,CFG_BBMUXN5<3>,CFG_BBMUXN5<5>,CFG_BBMUXN5<7>,XXXX,XXXX,CFG_BBMUXN5<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W8,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_BBMUXN4<0>,CFG_BBMUXN4<2>,CFG_BBMUXN4<4>,CFG_BBMUXN4<6>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
W9,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,CFG_SEAMMUX<24>,CFG_SEAMMUX<25>,CFG_SEAMMUX<26>,CFG_SEAMMUX<27>,CFG_SEAMMUX<28>,CFG_SEAMMUX<29>,XXXX,CFG_BBMUXN4<1>,CFG_BBMUXN4<3>,CFG_BBMUXN4<5>,CFG_BBMUXN4<7>,XXXX,XXXX,CFG_BBMUXN4<8>,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,XXXX,
